design_object_count,layout_count,composition
91,31,"Group:[types=['Group', 'VStack'], roles=['Decoration', 'Description', 'Marker']]"
90,48,"Group:[types=['Group', 'Text', 'VStack'], roles=['Description', 'Title']]"
90,42,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Marker']]"
89,55,"Group:[types=['Image', 'SVG', 'Text'], roles=['Decoration', 'Title']]"
88,42,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Highlight', 'Title']]"
88,43,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Marker']]"
87,43,"Group:[types=['Image', 'SVG', 'VStack'], roles=['Decoration', 'Description']]"
87,55,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Separator']]"
87,54,"Group:[types=['Group', 'Table'], roles=['Decoration', 'Description']]"
87,50,"Group:[types=['Image', 'SVG', 'Text'], roles=['Decoration', 'Highlight']]"
87,68,"Group:[types=['HStack', 'SVG'], roles=['Background', 'Decoration', 'Title']]"
87,51,"Group:[types=['Group', 'SVG'], roles=['Background', 'Description', 'Highlight']]"
86,75,"Group:[types=['Image'], roles=['Background']]"
86,51,"Group:[types=['Group', 'VStack'], roles=['Decoration', 'Description', 'Highlight']]"
86,44,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Highlight', 'Title']]"
86,58,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Background', 'Description']]"
85,63,"Group:[types=['Image', 'VStack'], roles=['Decoration', 'Title']]"
85,25,"Group:[types=['Group', 'SVG', 'Text'], roles=['Description', 'Marker', 'Separator', 'Title']]"
85,27,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Description', 'Marker']]"
84,37,"Group:[types=['Chart'], roles=['Description']]"
84,25,"Group:[types=['SVG'], roles=['Marker']]"
83,54,"Group:[types=['HStack', 'SVG', 'VStack'], roles=['Background', 'Description']]"
83,66,"Group:[types=['Group', 'VStack'], roles=['Background', 'Title']]"
83,59,"Group:[types=['Group', 'HStack'], roles=['Background', 'Title']]"
83,41,"Group:[types=['Chart', 'Group'], roles=['Description', 'Title']]"
82,48,"Group:[types=['Group', 'HStack'], roles=['Decoration', 'Description', 'Title']]"
82,65,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Subtitle', 'Title']]"
81,46,"Group:[types=['HStack', 'SVG'], roles=['Decoration', 'Description', 'Separator']]"
81,32,"Group:[types=['HStack', 'Text'], roles=['Description', 'Highlight']]"
81,52,"Group:[types=['Group', 'HStack'], roles=['Background', 'Description', 'Title']]"
81,54,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Separator', 'Title']]"
80,35,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Description', 'Highlight', 'Title']]"
80,32,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Background', 'Description']]"
79,32,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Description', 'Marker', 'Title']]"
79,50,"Group:[types=['Group', 'Image', 'SVG'], roles=['Decoration']]"
79,43,"Group:[types=['Group', 'Image', 'SVG'], roles=['Background', 'Decoration', 'Description']]"
79,44,"Group:[types=['Group', 'Table'], roles=['Description']]"
78,41,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Highlight', 'Title']]"
78,58,"Group:[types=['Group', 'SVG'], roles=['Separator', 'Title']]"
77,54,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Subtitle', 'Title']]"
76,38,"Group:[types=['Group', 'HStack', 'Text'], roles=['Description', 'Highlight', 'Title']]"
76,32,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Description', 'Separator']]"
76,33,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Highlight']]"
75,44,"Group:[types=['Group', 'SVG'], roles=['Background', 'Decoration', 'Highlight']]"
75,47,"Group:[types=['SVG', 'Text'], roles=['Highlight', 'Separator']]"
75,55,"Group:[types=['Text'], roles=['Decoration', 'Highlight']]"
74,57,"Group:[types=['Group'], roles=['Background', 'Description', 'Title']]"
74,50,"Group:[types=['Group', 'Image'], roles=['Background', 'Decoration']]"
74,45,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Highlight', 'Title']]"
74,36,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Decoration', 'Description', 'Title']]"
74,41,"Group:[types=['Group', 'HStack', 'Text'], roles=['Description', 'Title']]"
73,38,"Group:[types=['Group', 'SVG'], roles=['Highlight', 'Separator']]"
73,31,"Group:[types=['VStack'], roles=['Decoration', 'Description']]"
73,36,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Highlight']]"
73,35,"Group:[types=['SVG', 'Text'], roles=['Description', 'Highlight', 'Separator']]"
71,48,"Group:[types=['Group', 'SVG'], roles=['Background', 'Decoration', 'Description', 'Title']]"
71,29,"Group:[types=['SVG', 'Text'], roles=['Description', 'Highlight']]"
70,41,"Group:[types=['HStack', 'SVG'], roles=['Decoration', 'Highlight']]"
70,52,"Group:[types=['Image', 'SVG', 'Text'], roles=['Decoration']]"
70,31,"Group:[types=['Text'], roles=['Decoration', 'Description']]"
69,37,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Separator', 'Title']]"
69,50,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Background', 'Description']]"
69,51,"Group:[types=['Group'], roles=['Background', 'Decoration', 'Description']]"
69,42,"Group:[types=['Group', 'Text'], roles=['Decoration']]"
67,50,"Group:[types=['Image'], roles=['Background', 'Decoration']]"
67,35,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Decoration', 'Description', 'Marker']]"
67,37,"Group:[types=['Group', 'Table'], roles=['Background', 'Description']]"
65,35,"Group:[types=['Group', 'Text', 'VStack'], roles=['Background', 'Description', 'Title']]"
65,39,"Group:[types=['SVG', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Separator']]"
64,34,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Highlight', 'Title']]"
64,52,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Background', 'Decoration', 'Description', 'Title']]"
64,42,"Group:[types=['HStack', 'Image', 'SVG'], roles=['Background', 'Decoration', 'Description']]"
64,36,"Group:[types=['Chart', 'SVG', 'Text'], roles=['Background', 'Description', 'Title']]"
63,34,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Title']]"
63,32,"Group:[types=['Image', 'Text'], roles=['Decoration', 'Description', 'Title']]"
63,37,"Group:[types=['HStack', 'VStack'], roles=['Decoration', 'Description']]"
62,31,"Group:[types=['SVG', 'Text'], roles=['Description', 'Marker', 'Separator', 'Title']]"
62,32,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Background', 'Description', 'Separator', 'Title']]"
61,41,"Group:[types=['Group', 'HStack', 'VStack'], roles=['Description', 'Title']]"
